This is a cache of all of the repositories I own, have contributed to, or am a member of.

repository (hashed)  total commits  my commits  LOC added by me  LOC deleted by me
         \                \                \           \_____________  \
          \                \                \______________________  \  \
           \                \___________________________________   \  \  \
____________\___________________________________________________\___\__\__\_______
d83c00b10ab858138f007136bef66ae6602bf92221f76d1550fecef7f6458379 180 44 0 0
931f68c24c5293c80ed88fb84e74d287f05afad38f8a4ceaab2e5ccd8fb2831f 119 14 0 0
c856fccdeb88c1bc3821b81625e86d857ad2a4b10bd654a66f9b0470643c5cd6 176 6 0 0
bd625bf012c56e5bb1ef986be3888bab01050b6e4a6764df5073f0cedaa0b265 58 56 14264 12747
def29d86d31b9d761f3d947502897d1b3188619bd6f38be60fa74e5e1fdbe1ee 6 6 0 0
14be9fb3eabf70d227bd7caaef475d8bf18a412ef26db64779ee05580a1856e1 3 2 322 0
8be084df04b3d380906c4e3e10031e485b7e02994637fa29ada2877e80fed05b 32 32 86 2
66f4764e4897b0bf2104e37a5e7046784a5878f3e2501fc4edb5ade6150ac0c0 1 1 1 0
f8eca383113829a5b91f3ff708d4de3a6c3d8127d17e2347ad5eddcfd385f11d 6 6 121 5
1ab23bf0255ecb6cbe81a439dab071e20f47e8fa7cffd984c28aac4bd14abc03 1975 409 104592 81516
02fb910b7fd803dbd4df5e1dd7abf35b8cd23747e6523eb959a43cb617cd5b3d 4 4 43457 1
62d32a98c20be65dea150cacf403b60aa2161afba5cdc7a458d3230878b2f299 1 1 674 0
b7f8ad3fd8eb302ec95f2531fd45615fb81e0240609c75c382190712f362dc5b 41 41 1462 430
8d59cf345f9cb3282488b1f7ff19d19ea7bfec614c0ab1330f580a279ac14bec 4 4 676 0
e8d1a95703e767ce4470130d9e9a7f3c9667b69fa6660d51f69dcdc47fa6c45e 15 15 4660 922
a55d29d055009c90059e464d3dfffc4c99dd1dade8a0a218fd01568d6ec19f55 18 18 1107 195
e7c6f4222a9b4739af13f546bf6fd8bbbfd2cdeabbb9336e4bfb68171ca46a1c 10 5 233 127
b9c9df18717e57f9dd6a3c7ab083561b8d2ed9086798a5d2a5d4e2ed5eac24b2 53 50 0 0
38820becd4031d9ffba912b2f904590cc4e3bd9c7300f82e04bc1f6099ede36f 15 15 1745 307
0b94b80215eb47f4169a43b0aef55c371400ff44db0ec28302944c9cd4e9de4e 3 3 3539 4
cb972a7b510a99acf26887278d06faf1a936bd31bf56d17cc4a3f627d3f12cf3 12 12 423 33
e11ca6e90280ae0af74bc49b7e4f04027ec9275c2b2a06af3dbea1d18fd8d006 2 2 5 1
71cb3c286117480458f6dfd9b652d1e71235e9be06275b971b3656708ac3d2bd 463 0 0 0
bb68126dbc0695a0dfb8a40bc296634dd463326d1ec435bc948889aec220134a 6 6 317 15
2e6107638fac833deb60bdeaed1087fc7300c087f6c0506113f0472d495e33b9 5 5 1028 18
e6dcd0390cae7d68b40c716cf15d9c460b646c4688c7e99094fe4d8a2f5e6163 171 50 2136 986
8112979e3c16c9b3c73a5ed45e330a49ee340f16017f7a24c209e7b4d9510e1d 768 9 16 10
0613daa8be47947fd8f5b8e290a4f3541029268579118b96fb26dea7f5447775 20 20 2778 109
7e55ad278e6de4150180595496d8b6dec3e812412b3f9b68f083df472c217b4b 14 14 127 45
6eebb8196601e33343818371275fb8f0f75ef64ec5c946fbb22222b926f1004e 8 8 387 23
